station_id,D_station,station_latitude,station_longitude,bikepath
330,Reade St & Broadway,40.71450451,-74.00562789,
3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,
3166,Riverside Dr & W 72 St,40.78057799,-73.98562431000001,
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,
473,Rivington St & Chrystie St,40.72110063,-73.9919254,
3085,Roebling St & N 4 St,40.71469,-73.95739,
481,S 3 St & Bedford Ave,40.71260486,-73.96264403000001,
3080,S 4 St & Rodney St,40.70934,-73.95608,
460,S 4 St & Wythe Ave,40.71285887,-73.96590294000001,
532,S 5 Pl & S 4 St,40.710451,-73.960876,
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,
2001,Sands St & Navy St,40.699773,-73.979927,
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,
3002,South End Ave & Liberty St,40.711512,-74.015756,hudson river greenway
315,South St & Gouverneur Ln,40.70355377,-74.00670227000001,hudson river greenway
259,South St & Whitehall St,40.70122128,-74.01234218000001,hudson river greenway
224,Spruce St & Nassau St,40.71146364,-74.00552427,
308,St James Pl & Oliver St,40.71307916,-73.99851193000001,
82,St James Pl & Pearl St,40.71117416,-74.00016545,
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,1st/2nd ave
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,1st/2nd ave
3077,Stagg St & Union Ave,40.70877084,-73.95095259,
265,Stanton St & Chrystie St,40.72229346,-73.99147535,
341,Stanton St & Mangin St,40.71782143,-73.97628939000001,1st/2nd ave
310,State St & Smith St,40.68926942,-73.98912867,
410,Suffolk St & Stanton St,40.72066442,-73.98517977,
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,
3088,Union Ave & Jackson St,40.7160751,-73.952029,8/9th ave
3065,Union Ave & Wallabout St,40.70029511,-73.95032283000001,
382,University Pl & E 14 St,40.73492695,-73.99200509000001,
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,hudson river greenway
254,W 11 St & 6 Ave,40.73532427,-73.99800419,
253,W 13 St & 5 Ave,40.73543934,-73.99453948,
345,W 13 St & 6 Ave,40.73649403,-73.99704374,
223,W 13 St & 7 Ave,40.73781509,-73.99994661,
3224,W 13 St & Hudson St,40.73997354,-74.00513873,
225,W 14 St & The High Line,40.74195138,-74.00803013,hudson river greenway
482,W 15 St & 7 Ave,40.73935542,-73.99931783,
212,W 16 St & The High Line,40.74334935,-74.00681753000001,
116,W 17 St & 8 Ave,40.74177603,-74.00149746,8/9th ave
168,W 18 St & 6 Ave,40.73971301,-73.99456404999999,
459,W 20 St & 11 Ave,40.746745,-74.007756,hudson river greenway
334,W 20 St & 7 Ave,40.74238787,-73.99726235,
470,W 20 St & 8 Ave,40.74345335,-74.00004031,8/9th ave
435,W 21 St & 6 Ave,40.74173969,-73.99415556,
462,W 22 St & 10 Ave,40.74691959,-74.00451887,
453,W 22 St & 8 Ave,40.74475148,-73.99915362,8/9th ave
446,W 24 St & 7 Ave,40.74487634,-73.99529885,
466,W 25 St & 6 Ave,40.74395411,-73.99144871,
388,W 26 St & 10 Ave,40.74971775,-74.00295035000001,
494,W 26 St & 8 Ave,40.74734825,-73.99723551,
442,W 27 St & 7 Ave,40.746647,-73.993915,
512,W 29 St & 9 Ave,40.7500727,-73.99839279,8/9th ave
379,W 31 St & 7 Ave,40.749156,-73.99160000000001,
492,W 33 St & 7 Ave,40.75019995,-73.99093085,
525,W 34 St & 11 Ave,40.75594159,-74.0021163,
448,W 37 St & 10 Ave,40.75660359,-73.99790090000001,
485,W 37 St & 5 Ave,40.75038009,-73.98338988,
523,W 38 St & 8 Ave,40.75466591,-73.99138152,8/9th ave
488,W 39 St & 9 Ave,40.75645824,-73.99372222,8/9th ave
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,
477,W 41 St & 8 Ave,40.75640548,-73.9900262,8/9th ave
